bo,title,genres,budjet,year,rating,peoplesID,mid,date
183009,The Ghost Writer,"Mystery,Thriller",45000000,2010,90856|7.3|0000012310,8026|40533|13580|48764|52379|53241|17536|59536|17874|66615|78492|89136|91483|92692|95822|12107|102634|103784|106829|111002|111327|116540|28895|125303|134323|134895|138508|141466|145234|146021|152975|153019|155163|157456|161452|161479|163079|164225|167231|4674|169489|171082|175280|178768|181222|186952|187882|187940|192080|195238|199639|199771|202005|210083|217669|218015|230535|234895|235349|16524|17829|21527|28005|29563|13580|33431|36925|37860|13580|949,6402,2010/2/21
3301135,Turbo: A Power Rangers Movie,"Action,Adventure,Family,Fantasy,Sci-Fi,Thriller",0,1997,4911|2.8|3100000001,7684|7719|8003|8669|39612|5803|55901|59065|61302|66124|71393|73792|80043|81157|81558|84252|95044|107046|113146|113927|124709|124953|128462|131034|134579|138000|141978|144489|147690|150675|162439|5367|5803|177106|191784|198551|201220|204533|218850|225028|228580|25879|5803|30691|33192|36507|5803|14852|2920,1096,1997/3/30
56158,Le bossu,"Adventure,Drama",30000000,1997,1984|6.9|0000013210,8342|10562|39535|40156|43446|47359|10208|49398|53379|55203|55308|56202|60193|60945|66048|70946|71954|71963|74012|74446|74617|83957|84067|88021|88048|88184|106578|107424|108050|109375|111535|111538|111889|113428|113716|114618|120162|123510|125163|125310|126363|128199|129431|129661|131699|136671|137560|140920|143894|145628|151312|152558|155290|157339|160212|6815|171040|178615|179000|183866|183962|184040|190565|191085|191395|191396|201891|204403|213325|224494|230287|231669|18362|22072|22659|33112|10562|2886,784,1998/3/22
43990,Being Flynn,Drama,0,2012,7576|6.4|0000122100,7857|21596|14777|46199|47057|48258|52395|55681|57801|59664|61031|61893|63020|64861|64955|66254|19707|70744|11076|21596|80750|81033|84231|84851|94178|101978|105677|119931|120492|121014|121223|122295|123788|127049|129308|132648|134619|136421|140869|141243|142095|145590|152333|152486|160965|161939|164676|165330|5091|182048|184349|184606|189512|203874|209001|209215|211684|212890|214460|219008|43362|229838|230496|230638|233661|234674|15990|16146|19277|21596|26300|27988|29247|32882|14777|14777|2776,4851,2012/3/4
2939,Hitler's Children,Documentary,0,2011,124|7.3|0..0002211,||51772|51880|5|81566|85794|94103|133057|163254|5772|177943|191434|191437|195762|14956|14956|2306,8158,2012/11/18
215177,Stormbreaker,"Action,Adventure,Family,Thriller",40000000,2006,14035|5.1|0001111000,7803|24515|44827|50753|57851|58885|58886|61685|64251|66287|71473|79547|11530|92747|96318|98010|102459|108726|109633|117110|28895|126042|132285|133818|140867|141064|145651|153405|154157|158263|161606|161630|162588|165880|6417|174911|181811|189141|196570|214911|218834|34500|18712|20605|23071|23227|24515|31040|33344|33345|33673|36666|13990|3106,4888,2006/10/15
329011,Atlantis: The Lost Empire,"Adventure,Animation,Family,Sci-Fi",90000000,2001,37849|6.5|0000122100,|41975|5|42577|14549|14797|14858|43912|43913|50715|55086|59614|68935|81353|83623|113389|122717|126129|126733|133011|137280|151772|159422|5361|179842|214765|227351|228229|228464|11828|23534|33694|10730|14549|14858|,2300,2001/6/10
29018,D¨¦j¨¤ Vu,"Drama,Romance",0,1997,566|6.7|0000011112,9489|40093|12168|53313|56946|60626|73209|73653|75064|83225|86708|86832|91076|97792|99601|119511|133679|138352|141138|147181|152036|6847|172090|40093|194303|195548|197909|200386|205364|207640|207914|208199|219751|220680|22771|37897|12168|146,837,1998/4/19
14718,My Dog Tulip,"Animation,Drama",0,2009,868|6.8|0000012110,|38543|11426|11427|84451|92085|122862|123852|133388|3971|219750|221861|20005|25513|31249|36485|11426|11427|,5696,2010/9/5
4266463,Death to Smoochy,"Comedy,Crime,Drama,Thriller",55000000,2002,27819|6.2|0000112101,9484|13736|47106|47856|54001|54902|58124|58659|59924|61096|61817|64742|65341|65569|67055|68059|68508|11146|75550|76735|78328|79623|84701|11733|87369|89994|98177|98251|101717|102108|104070|104923|104986|106612|108710|108892|112457|112989|117512|123133|13332|132333|134728|135312|137767|138583|139001|144090|144753|151695|152974|154571|156002|156817|161604|37701|165865|166797|168253|6295|170910|172013|176869|181297|184723|188037|188254|188491|191815|197434|198109|25775|201093|204320|221431|233091|234405|16707|19829|23947|26495|27015|27378|28051|32182|11146|2279,2694,2002/3/31
25354,Sons of Provo,"Comedy,Music",200000,2004,234|6|1000010013,9461|17597|14406|49565|52809|52815|54069|17597|74454|74683|76885|90884|93189|99973|104447|116195|126899|128787|134931|143740|153279|14406|154187|166140||171675|172627|176664|180117|186191|186799|186962|193489|211940|236302|17597|20327|14406|14406|2066|2918,4142,2005/2/6
3058,Khamosh Pani: Silent Waters,Drama,0,2003,672|7.1|0000001212,8232|14391|43610|44991|45015|45757|45790|47246|48357|49441|5079|89219|98897|99038|102995|5919|113727|114152|121324|123959|123960|135157|136147|136151|137116|142003|145950|146001|146535|158293|158360|168459|168500|5079|5919|169223|174053|200678|200717|206960|206962|225367|236477|15231|15823|24094|14391|2449,3656,2004/12/12
5546,Glass: A Portrait of Philip in Twelve Parts,"Biography,Documentary,Music",0,2007,435|7.2|0000002211,||10087|5028|13168|6228|13714|141515|14050|146119|5028|169255|181882|15432|16424|24180|1442|31798|34043|34671|1442|1442,6286,2008/4/20
27319677,Real Steel,"Action,Drama,Sci-Fi,Sport",110000000,2011,146818|7.1|0000012211,9702|11597|22524|27325|41642|44710|5|46224|46668|49150|49186|50780|51061|52197|53070|54037|55098|55577|56924|57294|57607|58397|60221|60444|60689|60855|61168|61373|61415|61495|61550|61706|62592|65081|65209|65853|66805|70346|72763|73027|74201|75575|76358|76375|76786|79007|79103|80632|81071|81072|81144|82256|83229|11597|84127|84286|84650|85776|86755|86919|87502|88924|89073|89372|89705|90699|91688|92259|92734|92982|94569|24930|99494|100741|103518|105331|105333|106739|108489|108600|108947|109982|111593|111702|111709|111754|112058|112421|112930|113507|114032|114225|114309|114923|115297|116165|118650|119544|119679|120226|120553|120699|124693|124976|125273|125529|127028|135041|136781|136793|137174|138552|138657|140499|140878|141318|142990|143395|143785|144980|146472|147901|147905|147955|148829|149062|149879|150224|151164|152757|154853|157403|157575|157748|158191|159287|159288|162278|162449|163310|164433|165061|166497|167421|167493|4792|168697|168987|172195|173311|174872|176614|176722|181144|182248|183099|184394|187440|188793|188979|188981|192005|192128|192212|194668|195239|197058|198712|198863|199459|201664|203149|204557|204571|204572|204711|204857|205049|206741|207739|209501|211211|212582|212736|215971|216044|217004|217255|219806|222600|223915|225113|226423|228053|229328|229633|231752|234087|235712|15412|16493|23943|12661|28943|28944|29609|29955|32097|14282|35169|14964|12661|1080,4602,2011/10/9
3603049,Gridlock'd,"Comedy,Crime,Drama",0,1997,8392|6.8|0000012201,8299|11001|48115|68959|11001|72315|77499|80352|83655|86888|89681|93099|5505|111099|127431|131007|132668|134051|140336|13863|13991|145028|146040|146152|147040|150312|156983|157510|165863|166256|4511|174439|184612|12632|27653|209478|213301|213640|222010|223991|231729|232191|232543|235048|236583|16532|21410|24434|24639|25317|26538|26935|34415|34517|37282|11001|2719,877,1997/2/2
12661112,?on Flux,"Action,Sci-Fi,Adventure,Thriller",62000000,2005,78400|5.4|0001121000,9264|39420|40555|40556|41562|49751|50987|51575|52567|57011|58566|60084|68769|73900|76898|80223|80905|40556|92760|93205|95575|95588|98775|100175|103742|107049|107900|110639|115611|120342|122884|124998|132998|133949|135273|141908|141966|144106|144399|144475|147377|151192|154337|156589|14522|157360|163079|164237|166433|167014|6637|6650|171637|172711|174294|175074|175790|176963|179605|180357|183339|188059|188614|190541|191710|192292|205356|209124|210444|212538|214566|214909|214911|216709|217355|217949|219513|222472|226778|227521|35976|233521|235093|17961|22070|22836|23176|24435|24694|25597|27888|29563|31318|32858|36185|37067|37860|38245|12518|905,4218,2005/12/4
7200,"Rutland, USA","Action,Adventure,Comedy,Crime,Mystery",4000,2002,29|2.4|2100001102,|15682|13038|45130|15682|66260|80803|117114|13038|141043|4457|6587|15194|15194|15682|13038|3412,3609,2002/4/29
7722540,Half Baked,"Comedy,Crime",8000000,1998,33384|6.5|0000012101,8391|10546|18486|49887|54166|54745|54873|57252|10546|57339|57803|59558|18486|64376|64440|65753|66281|66972|72098|72473|20358|74718|75174|75877|76299|92598|93764|114695|122531|123286|123326|125282|125841|126849|130317|136325|137189|137397|139786|141492|13921|143593|151695|152977|164282|164470|166252|4450|170145|171476|175377|176488|176991|188091|190359|192981|193550|196819|205115|214489|218129|225585|231022|232979|18486|20522|34389|34539|34806|11066|269,1178,1998/1/19
16494,Reinas,"Comedy,Romance",0,2005,1447|6.6|0000012101,8117|40200|11813|13400|44885|45351|45475|47097|48151|54602|61133|61725|62467|64912|66232|67192|68476|73024|75879|79292|83440|83442|83449|88635|92471|93747|94663|97355|98905|98909|109823|111387|122367|124050|126998|30605|128206|128479|129801|131965|132320|141705|142383|142461|142536|143354|147585|158275|158317|158915|160077|160187|160883|167510|6092|169456|169912|174728|178708|188939|191017|204704|208485|216003|222877|21022|11813|67,4620,2006/8/27
55198,Broken English,"Comedy,Drama,Romance",2000000,2007,4306|6.2|0000112101,7726|10739|10464|62457|63899|68434|78847|83821|88629|89983|90184|102299|116715|129750|130931|133703|134068|134069|143895|150741|151254|14471|155277|163165|165363|5|183487|190627|197638|200114|202651|218261|42714|226736|15208|15853|19465|21419|23545|24666|24938|26206|26352|14096|35981|36805|36990|37362|10739|2695,5401,2007/6/24
6743,Looking for Eric,"Comedy,Drama,Fantasy,Sport",0,2009,9060|7.1|0000013310,9495|41258|44097|51849|51965|52920|60738|18095|64948|66797|66849|75763|78053|79466|84992|88700|92661|97453|101892|114205|114996|118477|119365|122156|133776|138420|139079|143574|146315|157043|157178|164370|164429|164858|4878|169230|174278|175470|176411|184515|196829|200474|18095|18341|19006|28339|30503|12716|11,6724,2010/5/16
9311882,Pulp Fiction,"Crime,Thriller",8000000,1994,736937|9|0000000124,8491|10210|3424|45892|51628|16501|54531|54901|10646|39240|65027|85024|87663|40629|93961|24952|25782|106739|110233|120281|132881|137770|137967|138090|13863|141655|146678|147087|148305|14314|35388|3424|36316|158028|37030|14795|163501|37725||169771|170852|170854|183491|189968|192599|192650|195732|198842|200045|204425|205770|208076|217835|217941|223354|14405|43418|231729|16501|11146|22580|34104|34252|37326|37328|3424|3118,348,1994/10/14
20528,?tre et avoir,"Documentary,Family",1304400,2002,5319|7.8|0000001321,||5|111278|5278|5|17763|26762|33379|2676|857|866|1202|2676,3301,2003/9/21
8203391,Hostel: Part II,Horror,10000000,2007,49006|5.4|0000111000,9362|13857|44491|50936|51013|51437|54930|55298|59244|60325|60326|64682|64852|66461|66462|66463|72337|73886|75258|77386|78418|79686|21924|82488|84064|89526|91620|92865|93153|94172|95452|96508|98080|104278|105076|105077|105078|119370|125291|126658|128776|132300|138088|152943|154548|157429|159245|159337|159340|37027|168234|4034|170323|172715|173547|21324|190650|190795|191411|195881|199126|199411|199694|202614|206902|206990|208268|208344|213328|217434|222108|231970|232039|15959|17442|19610|21551|21924|23288|25442|13857|32947|35041|3424|37027|14902|13857|530,5318,2007/6/10
111609,Grizzly Mountain,"Adventure,Family,Fantasy",5000000,1997,117|5|1101110001,8451|11824|31057|37523|44060|52176|53497|53498|55885|58903|64527|68032|79411|86251|88719|89410|89411|105153|126382|130732|131210|137595|142677|150797|151382|166144|6026|170146|187632|187633|190015|190016|190020|192439|193389|194001|195330|195538|206026|222731|230296|15691|19639|22007|26360|31057|32388|33283|33731|34696|36371|37523|37710|11824|2604,406,1997/11/2
20600,Garage Days,"Comedy,Drama,Music",6000000,2002,2155|5.7|0000121100,9534|13629|43527|43671|46715|47556|48565|49274|51443|52875|53016|61352|66207|66548|67536|67605|67935|68769|68805|68837|72704|74522|74566|75409|75798|76121|80417|83356|84790|88827|90445|92700|93438|5|99476|100053|100171|101760|101846|105129|26752|5723|107828|108041|111980|112388|112781|6036|117028|122183|125811|127571|128053|130447|130996|132053|137414|141869|142111|143784|144984|148148|151361|151796|154654|155399|156623|157579|159219|160347|161226|162007|166453|167718|5723|6036|6427|168917|176060|176782|177748|177796|181194|185136|185794|191161|192317|192653|193400|195767|197927|198527|199799|200170|201035|203026|206056|208867|208868|209198|210992|212813|215834|215879|219386|221090|224771|225064|227296|227337|230481|230778|235353|235741|236277|20481|23161|13629|32170|13629|918,2853,2003/7/20
102118668,Iron Man,"Action,Adventure,Sci-Fi,Drama,Fantasy",140000000,2008,368361|7.9|0000001321,8401|9591|40000|40577|40688|41094|27152|41378|41584|42167|44997|48328|49309|53083|53474|53488|10409|54975|17438|65594|68083|72939|20494|78121|11397|78849|81192|11763|87965|88629|90061|90780|90829|91254|91559|93018|24568|24952|97847|98147|100074|100847|102988|105723|27152|112331|115476|117691|118360|122373|124110|125581|126794|126943|127137|129253|131729|133384|137154|137608|138135|138375|140399|142906|149337|150934|151005|151400|153693|153695|154289|156906|161877|162290|168569|4700|174045|174056|175021|177492|178645|181988|184077|187210|190084|5|196348|199852|201095|201222|202948|204836|204938|206025|207159|211462|215014|215291|215840|220066|224156|225614|227447|229385|231170|233982|234762|15218|15338|15563|15564|10409|19595|11397|21278|23956|26929|27152|28163|34648|11397|14555|1993,3838,2008/5/4
2347,Zenith,"Sci-Fi,Thriller,Biography,Documentary,Short",0,2010,437|5.2|0000011101,8000|13312|15467|16775|16780|62534|67280|71240|79661|80253|80707|81934|99734|115000|124917|135525|137297|32543|142576|142909|143834|144020|146166|147853|155564|155863|162908|164135||170952|192758|201168|202881|222326|222335|224361|227344|15467|16775|16780|17995|18250|20970|23123|23446|24628|27218|27679|29957|13312|31849|32543|35165|37446|13312|3367,7012,2010/10/2
